Hotel URL,Original Text,Sentiment,Topic,AI Summary
https://www.booking.com/hotel/eg/dusit-thani-lakeview-cairo.en-gb.html,"Yazeed Saudi Arabia Deluxe Twin Room 3 nights · April 2026 Couple Booked for April 2026 · Incomplete stay Reviewed: 13 April 2026 Very good Scored 8.0 8.0 coosy reciption system !! Hotel response: Dear Mr. Yazeed, Thank you so much for your respectful... Continue reading Helpful Not helpful",Positive,Staff,The guest had a very good experience and particularly praised the cosy reception system.
https://www.booking.com/hotel/eg/dusit-thani-lakeview-cairo.en-gb.html,"Noura Saudi Arabia Deluxe Room 2 nights · April 2026 Family Reviewed: 11 April 2026 Excellent Scored 10 10 Everything Service is slow at the pool Hotel response: Dear Ms. Noura, Thank you so much for your respectful... Continue reading Helpful Not helpful",Mixed,Staff,The guest rated their overall experience as excellent but specifically highlighted slow service at the pool.
https://www.booking.com/hotel/eg/dusit-thani-lakeview-cairo.en-gb.html,"Fatma Egypt Deluxe Room 1 night · April 2026 Couple Reviewed: 8 April 2026 Exceptional Scored 10 10 Very nice Service Hotel response: Dear Ms. Fatma, Greetings from Dusit Thani Lakeview... Continue reading Helpful Not helpful",Positive,Staff,The guest had an exceptional experience and praised the very nice service provided by the hotel.
https://www.booking.com/hotel/eg/dusit-thani-lakeview-cairo.en-gb.html,"Amin Nigeria Deluxe Room 6 nights · March 2026 Couple Reviewed: 2 April 2026 My experience was generally good. But their is need and room for improvement. Scored 8.0 8.0 The location. The staff and pool area The shower wasn’t draining quick. The TV channels Hotel response: Dear Mr. Amin, Greetings from Dusit Thani Lakeview... Continue reading Helpful Not helpful",Mixed,Amenities,"The guest had a generally good experience, appreciating the location, staff, and pool area, but noted specific issues with slow shower drainage and the TV channels."
https://www.booking.com/hotel/eg/grand-nile-tower.en-gb.html,"Ralph United Kingdom King Guest room with Nile View 6 nights · February 2026 Couple Reviewed: 23 April 2026 Convenient and well positioned. Scored 9.0 9.0 Well positioned and very comfortable Nothing Hotel response: Dear Valuable Guest, Thank you for sharing your... Continue reading Helpful Not helpful",Positive,Location,"The guest found the hotel convenient, well positioned, and very comfortable, with no negative feedback."
https://www.booking.com/hotel/eg/grand-nile-tower.en-gb.html,"Mahomed Mauritius King Guest room with Nile View 1 night · April 2026 Solo traveller Reviewed: 16 April 2026 Superb Scored 9.0 9.0 Starting at the reception, the gentleman was very friendly I forgot to ask his name and helpful, the housekeeping staff, the restaurant staff were all fabulous. Absolutely no complaints. For us it was awesome. Not a complaint, but a suggestion, if smoking rooms were available it would have been great, but still we could smoke in the balcony which was awesome, the other thing is that I really wanted to eat koshery but wasn't available and more Egyptian menus would have been great. The rest nothing to complain. Hotel response: Dear Valuable Guest, Thank you for your kind words. We... Continue reading Helpful Not helpful",Positive,Staff,"The guest had a superb experience, highly praising the friendly and helpful staff across reception, housekeeping, and restaurant, with minor suggestions regarding smoking room availability and more diverse Egyptian food options."
https://www.booking.com/hotel/eg/grand-nile-tower.en-gb.html,"Ntombizodwa South Africa King Guest room with Nile View 2 nights · April 2026 Solo traveller Reviewed: 16 April 2026 Very good Scored 8.0 8.0 Location The level of noise, Hotel response: Dear Valuable Guest, Thank you for your kind words. We... Continue reading Helpful Not helpful",Mixed,Noise,"The guest had a generally good stay, scoring it 8.0, but noted an issue with the level of noise."
https://www.booking.com/hotel/eg/grand-nile-tower.en-gb.html,"Yasser Lebanon King Corner Guest Room - Nile View 1 night · April 2026 Solo traveller Reviewed: 14 April 2026 Good Scored 7.0 7.0 View &music in the lobby Restaurant Hotel response: Dear Valuable Guest, Thank you for taking time to get... Continue reading Helpful Not helpful",Positive,Amenities,"The guest appreciated the view, the music in the lobby, and the restaurant."
https://www.booking.com/hotel/eg/grand-nile-tower.en-gb.html,"S United Kingdom King Guest room with Nile View 8 nights · April 2026 Couple Reviewed: 13 April 2026 enjoyed stay great location Scored 9.0 9.0 Buffet breakfast was excellent staff very helpful Cleaning staff poor understanding of English Hotel response: Dear Valuable Guest, Thank you for taking time to get... Continue reading Helpful Not helpful",Positive,Staff,"The guest thoroughly enjoyed their stay, praising the hotel's great location, excellent buffet breakfast, and very helpful staff, despite a minor communication issue with the cleaning team."
https://www.booking.com/hotel/eg/grand-nile-tower.en-gb.html,"Natasha Netherlands Twin Executive Room with Nile View 3 nights · April 2026 Couple Reviewed: 11 April 2026 Very good Scored 8.0 8.0 The view from the room was great. We did not like that the hotel was completely dry. Hotel response: Dear Valuable Guest, thank you for this nice review; It... Continue reading Helpful Not helpful",Mixed,Amenities,The guest appreciated the great view from their room but disliked that the hotel was completely dry.
